authors,year,title,journal,text
,2008,The UK Standardisation of Breast Radiotherapy (START) Trial B of radiotherapy hypofractionation for treatment of early breast cancer: a randomised trial.,The Lancet,"Background: The international standard radiotherapy schedule for early breast cancer delivers 50 Gy in 25 fractions of 2·0 Gy over 5 weeks, but there is a long history of non-standard regimens delivering a lower total dose using fewer, larger fractions (hypofractionation). We aimed to test the benefits of radiotherapy schedules using fraction sizes larger than 2·0 Gy in terms of local-regional tumour control, normal tissue responses, quality of life, and economic consequences in women prescribed post-operative radiotherapy. Methods: Between 1999 and 2001, 2215 women with early breast cancer (pT1-3a pN0-1 M0) at 23 centres in the UK were randomly assigned after primary surgery to receive 50 Gy in 25 fractions of 2·0 Gy over 5 weeks or 40 Gy in 15 fractions of 2·67 Gy over 3 weeks. Women were eligible for the trial if they were aged over 18 years, did not have an immediate reconstruction, and were available for follow-up. Randomisation method was computer generated and was not blinded. The protocol-specified principal endpoints were local-regional tumour relapse, defined as reappearance of cancer at irradiated sites, late normal tissue effects, and quality of life. Analysis was by intention to treat. This study is registered as an International Standard Randomised Controlled Trial, number ISRCTN59368779. Findings: 1105 women were assigned to the 50 Gy group and 1110 to the 40 Gy group. After a median follow up of 6·0 years (IQR 5·0-6·2) the rate of local-regional tumour relapse at 5 years was 2·2% (95% CI 1·3-3·1) in the 40 Gy group and 3·3% (95% CI 2·2 to 4·5) in the 50 Gy group, representing an absolute difference of -0·7% (95% CI -1·7% to 0·9%)-ie, the absolute difference in local-regional relapse could be up to 1·7% better and at most 1% worse after 40 Gy than after 50 Gy. Photographic and patient self-assessments indicated lower rates of late adverse effects after 40 Gy than after 50 Gy. Interpretation: A radiation schedule delivering 40 Gy in 15 fractions seems to offer rates of local-regional tumour relapse and late adverse effects at least as favourable as the standard schedule of 50 Gy in 25 fractions."
,2014,Erratum: Effect of radiotherapy after mastectomy and axillary surgery on 10-year recurrence and 20-year breast cancer mortality: meta-analysis of individual patient data for 8135 women in 22 randomised trials (The Lancet (2014) 383(9935) (2127–2135)(S0140673614604888)(10.1016/S0140-6736(14)60488-8)).,The Lancet,"EBCTCG (Early Breast Cancer Trialists' Collaborative Group). Effect of radiotherapy after mastectomy and axillary surgery on 10-year recurrence and 20-year breast cancer mortality: meta-analysis of individual patient data for 8135 women in 22 randomised trials. Lancet 2014; 383: 2127–35—During revision of the appendix of this Article after peer review, some analyses of local recurrence were omitted. These have now been restored in the updated appendix. All analyses (and page numbers) in the previous version of the appendix remain unchanged, as do the medical findings of the paper. The correction has been made to the appendix as of Nov 21, 2014."
,2015,"Proceedings of the American Society for Radiation Oncology 57th Annual Meeting, ASTRO 2015.",International Journal of Radiation Oncology Biology Physics,"The proceedings contain 2121 papers. The topics discussed include: radiation treatment parameters and late gastrointestinal toxicity in cervical cancer patients treated with image guided high-dose-rate brachytherapy; the effect of pelvic radiation therapy on vaginal brachytherapy cylinder size; role of radiation therapy in platinum-resistant recurrent ovarian cancer diagnosed by FDGPET/contrast-enhanced CT; inferior outcomes following definitive radiation therapy or concurrent chemoradiation therapy for adenocarcinoma than squamous cell carcinoma of uterine cervix: a matched case control study; first safety analysis after 80 treated patients with early breast cancer within the targit-e trial; accelerated partial-breast irradiation (APBI) provides equivalent 5 year and 10 year outcomes regardless of molecular subtype; and breast cancer patients' preferences for adjuvant radiation therapy post lumpectomy, whole-breast irradiation versus partial-breast irradiation: a single-institutional study."
,2016,"Late-Breaking Abstracts from the 57th Annual Meeting of the American Society for Radiation Oncology, ASTRO 2015.",International Journal of Radiation Oncology Biology Physics,"The proceedings contain 12 papers. The topics discussed include: dexamethasone versus placebo in the prophylaxis of radiation-induced pain flare following palliative radiation therapy for bone metastases: a double-blind randomized, controlled, superiority trial; hypofractionated versus conventionally fractionated radiation therapy for prostate cancer: five-year oncologic outcomes of the Dutch randomized phase 3 HYPRO trial; patient-reported outcomes in NRG oncology/RTOG 0938, a randomized phase 2 study evaluating 2 ultrahypofractionated regimens (UHRs) for prostate cancer; report of NRG oncology/RTOG 9601, a phase 3 trial in prostate cancer: anti-androgen therapy (AAT) with bicalutamide during and after radiation therapy (RT) in patients following radical prostatectomy (RP) with pT2-3pN0 disease and an elevated PSA; NRG oncology RTOG 0415: a randomized phase 3 noninferiority study comparing 2 fractionation schedules in patients with low-risk prostate cancer; accelerated partial breast irradiation using sole interstitial multicatheter brachytherapy versus whole breast irradiation for early breast cancer: five-year results of a randomized phase 3 trial - part I: local control and survival results; preclinical advances in combined-modality cancer immunotherapy with radiation therapy; and examination of industry payments to radiation oncologists in 2014 using the centers for medicare and medicaid services open payments database."
,2016,"Proceedings of the American Society for Radiation Oncology, ASTRO 2016.",International Journal of Radiation Oncology,"The proceedings contain 2300 papers. The topics discussed include: a phase III randomized control trial comparing skin-sparing helical tomotherapy versus 3D-conformal radiation therapy in early-stage breast cancer: acute and late skin toxicity outcomes; longitudinal analysis of patient-reported outcomes and cosmesis in a randomized trial of conventionally fractionated versus hypofractionated whole-breast irradiation; brentuximab vedotin and AVD chemotherapy followed by ISRT: a safe primary treatment regimen for early-stage, unfavorable Hodgkin lymphoma; treatment of early-stage unfavorable Hodgkin lymphoma: efficacy and toxicity of 4 versus 6 cycles of ABVD chemotherapy with radiation; and a prospective pilot study evaluating feasibility and utility of ECG-gated CT angiography for coronary-sparing radiation therapy planning in mediastinal lymphoma."
,2017,2017 ASTRO Annual Meeting Late-Breaking Abstracts.,International Journal of Radiation Oncology Biology Physics,"The proceedings contain 16 papers. The topics discussed include: tumor treating fields (TTFields)- a novel cancer treatment modality: translating preclinical evidence and engineering into a survival benefit with delayed decline in quality of life; a randomized controlled trial evaluating the utility of a patient decision aid to improve clinical trial (RAVES 08.03) related decision-making; healthcare disparities in cancer patients receiving radiation: changes in insurance status after medicaid expansion under the affordable care act; two-year results for MC1273, a phase 2 evaluation of aggressive dose de-escalation for adjuvant chemoradiation in HPV+ oropharynx squamous cell carcinoma (OPSCC); PACIFIC: a double-blind, placebo-controlled phase 3 study of durvalumab as consolidation therapy after chemoradiation in patients with locally advanced, unresectable nonesmall cell lung cancer; 68Ga-PSMA PET/CT mapping of early biochemical recurrence (PSA1 ng/mL) after primary surgery in 270 patients: impact on salvage radiation therapy planning; prospective validation of transforming growth factor-beta (TGF-B) polymorphism C509T as a predictor of radiation-induced fibrosis in early stage breast cancer; selective bladder preservation with twice-daily radiation plus 5-flourouracil/cisplatin or daily radiation plus gemcitabine for patients with muscle invasive bladder cancer -primary results of NRG/RTOG 0712: a randomized phase 2 multicenter trial; and multi-institutional phase 2 trial of high-dose stereotactic body radiation therapy with temporary hydrogel spacer for low-and intermediate-risk prostate cancer."
,2018,"Erratum to: Wang SY, Kelly G, Gross C, et al. Information needs of older women with early-stage breast cancer when making radiation therapy decisions. [Int J Radiat Oncol Biol Phys 2017;98:733-740](S0360301617303097)(10.1016/j.ijrobp.2017.02.001)).",International Journal of Radiation Oncology Biology Physics,"In the above-referenced article,1 the last 2 sentences of the Participants section should be: “Overall, 25 participants did not receive RT. Among them, 23 participants (92.0%) had radiation oncologist visits.” We regret the errors."
"Abdulkarim, B. S., et al.",2016,A phase III randomized control trial comparing skin-sparing helical tomotherapy versus 3D-conformal radiation therapy in early-stage breast cancer: Acute and late skin toxicity outcomes.,International Journal of Radiation Oncology,"Purpose/Objective(s): Adjuvant tangent field 3D-conformal radiation therapy (3D-CRT) to whole breast following breast conservation surgery in early-stage breast cancer (EBC) results in moist desquamation or grade 2 skin toxicity in about 30% of patients. The feasibility of skin-sparing 3DCRT and IMRT system (SST) for adjuvant breast radiation therapy has been confirmed dosimetrically by configuring skin as an organ at risk (OAR). The purpose of the study was to assess whether SST would reduce acute and long-term skin toxicity in EBC patient. Materials/Methods: A single institution phase III randomized control trial was conducted comparing SST to 3D-CRT adjuvant RT in EBC patients with acute and late skin toxicity as primary endpoints. The skin as OAR was defined as the 5-mm strip of ipsilateral breast skin and the skin volume, receiving dose, was restricted up to a max dose of 40 Gy. Treatment of 50 Gy was delivered over 25 fractions. Breast boost was not allowed in this trial. Patients were assessed weekly during RT and then every 3-6 months for a period of 5 years. Toxicity was assessed based on CTCAE v3.0. Results: A total of 177 patients were enrolled between May 2008 and January 2012; 90 to 3D-CRT and 87 to SST. The mean age was 59 years. SST achieved more homogenous coverage of the target than 3D-CRT. The SST arm had a lower incidence of acute toxicity. The incidence of erythema and moist desquamation were significantly higher in the 3D-CRT arm (erythema: 60 vs 39%; P = 0.005; moist desquamation: 33 vs 11%; P = 0.0003). Eleven percent of patients in the 3D-CRT arm had exudate compared with none in the SST arm (11 vs 0%; P = 0.0014). Patients in the 3D-CRT arm had increased incidence of grade 3 tenderness and discomfort of breast (tenderness: 54 vs 24%; P < 0.0001, discomfort: 9 vs 1%; P = 0.019). The independent prognostic factors that contributed significantly to acute toxicity in the multivariate analysis were large breast volume, adjuvant chemotherapy, and 3D-CRT. The median follow-up time was 62.8 months. There was no statistical difference between the two arms in the overall incidence of late toxicities (skin fibrosis, hypopigmentation, skin atrophy, telangiectasia, and pain) except for hyperpigmentation. The 5-year local relapse free survival (LRFS) probability was 95.6% in the 3DCRT arm and 96.0% in the SST arm. The 5-year overall survival probability was 97.7% in the 3C-CRT arm and 98.3% in the SSHT arm. Conclusion: Combining IMRT with explicit reduction in skin dose with 3D-CRT significantly reduced the incidence of moist desquamation compared with solely 3D-CRT. The low incidence of acute toxicity in SST arm did not translate into significant benefit with reduction of late toxicity. However, the SST concept is supported by equivalent LRFS rate in both arm of the trial."
"Abe, O., et al.",1996,Ovarian ablation in early breast cancer: Overview of the randomised trials.,The Lancet,"Background. Among women with early breast cancer, the effects of ovarian ablation on recurrence and death have been assessed by several randomised trials that now have long follow-up. In this report, the Early Breast Cancer Trialists' Collaborative Group present their third and yearly systematic overview (meta-analysis), now with 15 years' follow-up. Methods. In 1995, information was sought on each patient in any randomised trial of ovarian ablation or suppression versus control that began before 1990. Data were obtained for 12 of the 13 studies that assessed ovarian ablation by irradiation or surgery, all of which began before 1980, but not for the four studies that assessed ovarian suppression by drugs, all of which began after 1985. Menopausal status was not consistently defined across trials; therefore, the main analyses are limited to women aged under 50 (rather than 'premenopausal') when randomised. Oestrogen receptors were measured only in the trials of ablation plus cytotoxic chemotherapy versus the same chemotherapy alone. Findings. Among 2102 women aged under 50 when randomised, most of whom would have been premenopausal at diagnosis, 1130 deaths and an additional 153 recurrences were reported. 15-year survival was highly significantly improved among those allocated ovarian ablation (52.4 vs 46.1%, 6.3 [SD 2.3] fewer deaths per 100 women, logrank 2p = 0.001), as was recurrence-free survival (45.0 vs 39.0%, 2p = 0.0007). The numbers of events were too small for any subgroup analyses to be reliable. The benefit was, however, significant both for those with ('node positive') and for those without ('node negative') axillary spread when diagnosed. In the trials of ablation plus cytotoxic chemotherapy versus the same chemotherapy alone, the benefit appeared smaller (even for women with oestrogen receptors detected on the primary tumour) than in the trials of ablation in the absence of chemotherapy (where the observed survival improvements were about six per 100 node-negative women and 12 per 100 node-positive women). Among 1354 women aged 50 or over when randomised, most of whom would have been perimenopausal or postmenopausal, there was only a nonsignificant improvement in survival and recurrence-free survival. Interpretation. In women aged under 50 with early breast cancer, ablation of functioning ovaries significantly improves long-term survival, at least in the absence of chemotherapy. Further randomised evidence is needed on the additional effects of ovarian ablation in the presence of other adjuvant treatments, and to assess the relevance of hormone-receptor measurements."
"Abner, A. L., et al.",1991,"Cosmetic results after surgery, chemotherapy, and radiation therapy for early breast cancer.",International Journal of Radiation Oncology Biology Physics,"Adjuvant chemotherapy (CT) is increasingly being used in conjunction with radiation therapy (RT) in the treatment of early stage breast cancer. To assess the effect of CT on the cosmetic outcome of the irradiated breast, we retrospectively reviewed the cosmetic results of patients who received either cyclophosphamide-methotrexate-fluorouracil (CMF) or doxorubicin-based chemotherapy in conjunction with breast irradiation between 1968 and 1985. The overall cosmetic results were evaluated by the physician as ''excellent,'' ''good,'' ''fair,'' or ''poor'' using a standardized scale. The CT group consisted of 170 patients treated with CT and RT administered either concurrently or sequentially (CT before RT, after RT, or both) with a minimum of 24 months of cosmetic follow-up. These were compared to an RT alone control group of 170 patients who did not receive CT and were matched by tumor size, radiation technique, and year of treatment. At 36 months, the cosmetic scores for the CT group compared to RT alone were 47% versus 71% excellent (p < 0.01), 36% versus 19% good, and 17% versus 9% fair or poor. For the 50 patients treated with concurrent CMF and RT, the scores were 31% excellent, 45% good, and 24% fair/poor, whereas for the 118 patients treated with sequential RT and CT they were 54%, 31%, and 14%, respectively. There was no difference between those patients who received sequential CMF and those treated with doxorubicin. We conclude that adjuvant chemotherapy adversely affects the cosmetic outcome of breast irradiation, but that this effect is not clinically significant unless CMF is administered concurrently with RT. Patients treated with either sequential CMF or doxorubicin-based CT had only a slight decrement in their cosmetic result compared to patients treated without CT."
