year,journal,title,text,authors
2020,Lancet,Mortality impact of achieving WHO cervical cancer elimination targets: a comparative modelling analysis in 78 low-income and lower-middle-income countries.,"WHO is developing a global strategy towards eliminating cervical cancer as a public health problem, which proposes an elimination threshold of four cases per 100 000 women and includes 2030 triple-intervention coverage targets for scale-up of human papillomavirus (HPV) vaccination to 90%, twice-lifetime cervical screening to 70%, and treatment of pre-invasive lesions and invasive cancer to 90%. We assessed the impact of achieving the 90-70-90 triple-intervention targets on cervical cancer mortality and deaths averted over the next century. We also assessed the potential for the elimination initiative to support target 3.4 of the UN Sustainable Development Goals (SDGs)-a one-third reduction in premature mortality from non-communicable diseases by 2030.The WHO Cervical Cancer Elimination Modelling Consortium (CCEMC) involves three independent, dynamic models of HPV infection, cervical carcinogenesis, screening, and precancer and invasive cancer treatment. Reductions in age-standardised rates of cervical cancer mortality in 78 low-income and lower-middle-income countries (LMICs) were estimated for three core scenarios: girls-only vaccination at age 9 years with catch-up for girls aged 10-14 years; girls-only vaccination plus once-lifetime screening and cancer treatment scale-up; and girls-only vaccination plus twice-lifetime screening and cancer treatment scale-up. Vaccination was assumed to provide 100% lifetime protection against infections with HPV types 16, 18, 31, 33, 45, 52, and 58, and to scale up to 90% coverage in 2020. Cervical screening involved HPV testing at age 35 years, or at ages 35 years and 45 years, with scale-up to 45% coverage by 2023, 70% by 2030, and 90% by 2045, and we assumed that 50% of women with invasive cervical cancer would receive appropriate surgery, radiotherapy, and chemotherapy by 2023, which would increase to 90% by 2030. We summarised results using the median (range) of model predictions.In 2020, the estimated cervical cancer mortality rate across all 78 LMICs was 13·2 (range 12·9-14·1) per 100 000 women. Compared to the status quo, by 2030, vaccination alone would have minimal impact on cervical cancer mortality, leading to a 0·1% (0·1-0·5) reduction, but additionally scaling up twice-lifetime screening and cancer treatment would reduce mortality by 34·2% (23·3-37·8), averting 300 000 (300 000-400 000) deaths by 2030 (with similar results for once-lifetime screening). By 2070, scaling up vaccination alone would reduce mortality by 61·7% (61·4-66·1), averting 4·8 million (4·1-4·8) deaths. By 2070, additionally scaling up screening and cancer treatment would reduce mortality by 88·9% (84·0-89·3), averting 13·3 million (13·1-13·6) deaths (with once-lifetime screening), or by 92·3% (88·4-93·0), averting 14·6 million (14·1-14·6) deaths (with twice-lifetime screening). By 2120, vaccination alone would reduce mortality by 89·5% (86·6-89·9), averting 45·8 million (44·7-46·4) deaths. By 2120, additionally scaling up screening and cancer treatment would reduce mortality by 97·9% (95·0-98·0), averting 60·8 million (60·2-61·2) deaths (with once-lifetime screening), or by 98·6% (96·5-98·6), averting 62·6 million (62·1-62·8) deaths (with twice-lifetime screening). With the WHO triple-intervention strategy, over the next 10 years, about half (48% [45-55]) of deaths averted would be in sub-Saharan Africa and almost a third (32% [29-34]) would be in South Asia; over the next 100 years, almost 90% of deaths averted would be in these regions. For premature deaths (age 30-69 years), the WHO triple-intervention strategy would result in rate reductions of 33·9% (24·4-37·9) by 2030, 96·2% (94·3-96·8) by 2070, and 98·6% (96·9-98·8) by 2120.These findings emphasise the importance of acting immediately on three fronts to scale up vaccination, screening, and treatment for pre-invasive and invasive cervical cancer. In the next 10 years, a one-third reduction in the rate of premature mortality from cervical cancer in LMICs is possible, contributing to the realisation of the 2030 UN SDGs. Over the next century, successful implementation of the WHO elimination strategy would reduce cervical cancer mortality by almost 99% and save more than 62 million women's lives.WHO, UNDP, UN Population Fund, UNICEF-WHO-World Bank Special Program of Research, Development and Research Training in Human Reproduction, Germany Federal Ministry of Health, National Health and Medical Research Council Australia, Centre for Research Excellence in Cervical Cancer Control, Canadian Institute of Health Research, Compute Canada, and Fonds de recherche du Québec-Santé.Copyright © 2020 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license. Published by Elsevier Ltd.. All rights reserved.",NA
2020,Lancet,Impact of HPV vaccination and cervical screening on cervical cancer elimination: a comparative modelling analysis in 78 low-income and lower-middle-income countries.,"The WHO Director-General has issued a call for action to eliminate cervical cancer as a public health problem. To help inform global efforts, we modelled potential human papillomavirus (HPV) vaccination and cervical screening scenarios in low-income and lower-middle-income countries (LMICs) to examine the feasibility and timing of elimination at different thresholds, and to estimate the number of cervical cancer cases averted on the path to elimination.The WHO Cervical Cancer Elimination Modelling Consortium (CCEMC), which consists of three independent transmission-dynamic models identified by WHO according to predefined criteria, projected reductions in cervical cancer incidence over time in 78 LMICs for three standardised base-case scenarios: girls-only vaccination; girls-only vaccination and once-lifetime screening; and girls-only vaccination and twice-lifetime screening. Girls were vaccinated at age 9 years (with a catch-up to age 14 years), assuming 90% coverage and 100% lifetime protection against HPV types 16, 18, 31, 33, 45, 52, and 58. Cervical screening involved HPV testing once or twice per lifetime at ages 35 years and 45 years, with uptake increasing from 45% (2023) to 90% (2045 onwards). The elimination thresholds examined were an average age-standardised cervical cancer incidence of four or fewer cases per 100 000 women-years and ten or fewer cases per 100 000 women-years, and an 85% or greater reduction in incidence. Sensitivity analyses were done, varying vaccination and screening strategies and assumptions. We summarised results using the median (range) of model predictions.Girls-only HPV vaccination was predicted to reduce the median age-standardised cervical cancer incidence in LMICs from 19·8 (range 19·4-19·8) to 2·1 (2·0-2·6) cases per 100 000 women-years over the next century (89·4% [86·2-90·1] reduction), and to avert 61·0 million (60·5-63·0) cases during this period. Adding twice-lifetime screening reduced the incidence to 0·7 (0·6-1·6) cases per 100 000 women-years (96·7% [91·3-96·7] reduction) and averted an extra 12·1 million (9·5-13·7) cases. Girls-only vaccination was predicted to result in elimination in 60% (58-65) of LMICs based on the threshold of four or fewer cases per 100 000 women-years, in 99% (89-100) of LMICs based on the threshold of ten or fewer cases per 100 000 women-years, and in 87% (37-99) of LMICs based on the 85% or greater reduction threshold. When adding twice-lifetime screening, 100% (71-100) of LMICs reached elimination for all three thresholds. In regions in which all countries can achieve cervical cancer elimination with girls-only vaccination, elimination could occur between 2059 and 2102, depending on the threshold and region. Introducing twice-lifetime screening accelerated elimination by 11-31 years. Long-term vaccine protection was required for elimination.Predictions were consistent across our three models and suggest that high HPV vaccination coverage of girls can lead to cervical cancer elimination in most LMICs by the end of the century. Screening with high uptake will expedite reductions and will be necessary to eliminate cervical cancer in countries with the highest burden.WHO, UNDP, UN Population Fund, UNICEF-WHO-World Bank Special Program of Research, Development and Research Training in Human Reproduction, Canadian Institute of Health Research, Fonds de recherche du Québec-Santé, Compute Canada, National Health and Medical Research Council Australia Centre for Research Excellence in Cervical Cancer Control.Copyright © 2020 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license. Published by Elsevier Ltd.. All rights reserved.",NA
2019,Pract Radiat Oncol,Associations of Early Medicaid Expansion With Insurance Status and Stage at Diagnosis Among Cancer Patients Receiving Radiation Therapy.,"Medicaid expansion in 2014 is associated with improved insurance coverage and stage at diagnosis in cancer patients. However, little is known about the effect of early Medicaid expansions in 2010 to 2011 on outcomes in radiation therapy recipients. The objective of this study was to estimate the effect of early Medicaid expansion on insurance status and stage at diagnosis among radiation therapy recipients.The Surveillance, Epidemiology, and End Results database was queried for cases aged 18 to 64 diagnosed in 2007 to 2013 with a first primary malignancy treated with radiation therapy. Difference-in-differences analyses were used to compare changes in insurance coverage and stage at diagnosis from 2007 to 2009 and 2011 to 2013 in expansion relative to nonexpansion states.There was a -0.48 (95% confidence interval [CI], -0.84 to -0.13; P = .007) percentage point (PP) reduction in uninsured in expansion relative to nonexpansion states, primarily among counties with lower educational attainment (-1.73 PP; 95% CI, -2.72 to -0.75). Increases in early stage diagnoses in expansion relative to nonexpansion states were found overall and in breast (1.56 PP; 95% CI, 0.45-2.68; P = .006), colorectal (3.72 PP; 95% CI, 0.33-7.12; P = .032), and lung (1.49 PP; 95% CI, 0.25-2.72; P = .018) cancers. Decreases in late stage diagnoses were found in cervical (-5.91 PP; 95% CI, -9.58 to -2.25; P = .002), colorectal (-2.72 PP; 95% CI, -5.43 to -0.01; P = .05), and lung (-3.28 PP; 95% CI, -5.47 to -1.1; P = .003) cancers.For radiation therapy recipients, early Medicaid expansion was associated with decreased percent uninsured, particularly among low education counties, and earlier stage diagnoses for screenable cancers. Thus, early Medicaid expansion may improve access to care and decrease disparities for radiation therapy recipients.Copyright © 2019 American Society for Radiation Oncology. Published by Elsevier Inc. All rights reserved.",NA
2019,Lancet,Population-level impact and herd effects following the introduction of human papillomavirus vaccination programmes: updated systematic review and meta-analysis.,"More than 10 years have elapsed since human papillomavirus (HPV) vaccination was implemented. We did a systematic review and meta-analysis of the population-level impact of vaccinating girls and women against human papillomavirus on HPV infections, anogenital wart diagnoses, and cervical intraepithelial neoplasia grade 2+ (CIN2+) to summarise the most recent evidence about the effectiveness of HPV vaccines in real-world settings and to quantify the impact of multiple age-cohort vaccination.In this updated systematic review and meta-analysis, we used the same search strategy as in our previous paper. We searched MEDLINE and Embase for studies published between Feb 1, 2014, and Oct 11, 2018. Studies were eligible if they compared the frequency (prevalence or incidence) of at least one HPV-related endpoint (genital HPV infections, anogenital wart diagnoses, or histologically confirmed CIN2+) between pre-vaccination and post-vaccination periods among the general population and if they used the same population sources and recruitment methods before and after vaccination. Our primary assessment was the relative risk (RR) comparing the frequency (prevalence or incidence) of HPV-related endpoints between the pre-vaccination and post-vaccination periods. We stratified all analyses by sex, age, and years since introduction of HPV vaccination. We used random-effects models to estimate pooled relative risks.We identified 1702 potentially eligible articles for this systematic review and meta-analysis, and included 65 articles in 14 high-income countries: 23 for HPV infection, 29 for anogenital warts, and 13 for CIN2+. After 5-8 years of vaccination, the prevalence of HPV 16 and 18 decreased significantly by 83% (RR 0·17, 95% CI 0·11-0·25) among girls aged 13-19 years, and decreased significantly by 66% (RR 0·34, 95% CI 0·23-0·49) among women aged 20-24 years. The prevalence of HPV 31, 33, and 45 decreased significantly by 54% (RR 0·46, 95% CI 0·33-0·66) among girls aged 13-19 years. Anogenital wart diagnoses decreased significantly by 67% (RR 0·33, 95% CI 0·24-0·46) among girls aged 15-19 years, decreased significantly by 54% (RR 0·46, 95% CI 0.36-0.60) among women aged 20-24 years, and decreased significantly by 31% (RR 0·69, 95% CI 0·53-0·89) among women aged 25-29 years. Among boys aged 15-19 years anogenital wart diagnoses decreased significantly by 48% (RR 0·52, 95% CI 0·37-0·75) and among men aged 20-24 years they decreased significantly by 32% (RR 0·68, 95% CI 0·47-0·98). After 5-9 years of vaccination, CIN2+ decreased significantly by 51% (RR 0·49, 95% CI 0·42-0·58) among screened girls aged 15-19 years and decreased significantly by 31% (RR 0·69, 95% CI 0·57-0·84) among women aged 20-24 years.This updated systematic review and meta-analysis includes data from 60 million individuals and up to 8 years of post-vaccination follow-up. Our results show compelling evidence of the substantial impact of HPV vaccination programmes on HPV infections and CIN2+ among girls and women, and on anogenital warts diagnoses among girls, women, boys, and men. Additionally, programmes with multi-cohort vaccination and high vaccination coverage had a greater direct impact and herd effects.WHO, Canadian Institutes of Health Research, Fonds de recherche du Québec - Santé.Copyright © 2019 Elsevier Ltd. All rights reserved.",NA
2019,Pract Radiat Oncol,Appropriate Methodology for EBRT and HDR Intracavitary/Interstitial Brachytherapy Dose Composite and Clinical Plan Evaluation for Patients With Cervical Cancer.,"This study assessed the appropriateness of full parameter addition (FPA) methods with respect to the 3-dimensional deformable dose composite method for evaluating combined external beam radiation therapy (EBRT) and intracavitary brachytherapy (ICBT).A total of 22 patients who received EBRT and high-dose-rate ICBT were retrospectively evaluated. Split-ring and tandem applicators were used for all patients. Additional interstitial needles were used for 5 patients to supplement the implant. Deformable image registrations were performed to deform the secondary EBRT and ICBT planning computed tomography (CT) images onto the reference CT from the third fraction of ICBT. The Dice similarity coefficient was used to evaluate the quality of deformable registration. Doses were transferred to the reference CT, scaled to the equivalent dose in 2-Gy fractions and combined to create the dose composite. Eight dose-accumulation methods were evaluated and compared. D2cc and D0.1cc for organs at risk were investigated.The differences in D2cc for rectum, bladder, sigmoid, and bowel between the FPA method for whole-pelvis EBRT and ICBT, calculated using an old American Brachytherapy Society worksheet (FPA_Eh + I_old) and deformable composite for EBRT with boosts and ICBT (Def_E + B + I) were -2.19 ± 1.37 Gyα/β = 3, -0.64 ± 1.13 Gyα/β = 3, -2.06 ± 2.71 Gyα/β = 3, and -1.59 ± 0.89 Gyα/β = 3, respectively. The differences in D2cc for rectum, bladder, sigmoid, and bowel between the new ABS worksheet (FPA_Eh + B + I_abs) and the Def_E + B + I method were 1.21 ± 1.22 Gy α/β = 3, 1.93 ± 1.38 Gyα/β = 3, 0.72 ± 1.12 Gyα/β = 3, and 1.19 ± 1.46 Gyα/β = 3, respectively. Differences in dose-volume histogram parameter values among Def_E + B + I and other FPA methods were not statistically significant (P > .05).Compared with the FPA-based method, deformable registration-based dose composites demonstrated lower OAR D2cc and D0.1cc values; however, the differences were not statistically significant. The current ABS-recommended FPA-based sheet can serve as an acceptable plan evaluation tool for clinical purposes.Copyright © 2019 American Society for Radiation Oncology. Published by Elsevier Inc. All rights reserved.",NA
2019,Lancet,Cervical cancer.,"Each year, more than half a million women are diagnosed with cervical cancer and the disease results in over 300 000 deaths worldwide. High-risk subtypes of the human papilloma virus (HPV) are the cause of the disease in most cases. The disease is largely preventable. Approximately 90% of cervical cancers occur in low-income and middle-income countries that lack organised screening and HPV vaccination programmes. In high-income countries, cervical cancer incidence and mortality have more than halved over the past 30 years since the introduction of formal screening programmes. Treatment depends on disease extent at diagnosis and locally available resources, and might involve radical hysterectomy or chemoradiation, or a combination of both. Conservative, fertility-preserving surgical procedures have become standard of care for women with low-risk, early-stage disease. Advances in radiotherapy technology, such as intensity-modulated radiotherapy, have resulted in less treatment-related toxicity for women with locally-advanced disease. For women with metastatic or recurrent disease, the overall prognosis remains poor; nevertheless, the incorporation of the anti-VEGF agent bevacizumab has been able to extend overall survival beyond 12 months. Preliminary results of novel immunotherapeutic approaches, similarly to other solid tumours, have shown promising results so far.Copyright © 2019 Elsevier Ltd. All rights reserved.",NA
2019,Pract Radiat Oncol,Is SBRT Boost Feasible for PET Positive Lymph Nodes for Cervical Cancer? Evaluation using Tumor Control Probability and QUANTEC Criteria.,"This study aimed to examine the feasibility of stereotactic body radiation therapy (SBRT) as an external beam radiation therapy boost to positron emission tomography (PET) positive lymph nodes (LN) in patients with cervical cancer and to evaluate overall tumor control probability (TCP) increase.Ten patients with cervical cancer and PET positive LN metastasis who received external beam radiation therapy (45 Gy), followed by a 3-dimensional conformal radiation therapy boost (5.4-9 Gy) and tandem-and-ovoid high-dose-rate brachytherapy (16-30 Gy) were retrospectively enrolled in this study. SBRT plans were generated using 21 Gy, 24 Gy, or 30 Gy as a replacement for 3-dimensional conformal radiation therapy boost. The 2 Gy-per-fraction equivalent dose maps were made using an α/β value of 10 for PET positive LNs and 3 for organs at risk (OARs). TCP values were calculated using a logistic TCP model, where 2 input parameters (D50 and Gamma50 = 2) were modeled by 2 clinical outcomes: our institution and the literature. OAR sparing was evaluated using Quantitative Analyses of Normal Tissue Effects in the Clinic (QUANTEC) dose limits.Thirty percent of 10 patients receiving conventional boost experienced recurrence. The TCP of the SBRT schemes was 88% ± 7% (97% ± 2%; 21 Gy), 96% ± 1% (99% ± 0%; 24 Gy), and 99% ± 1% (100% ± 0%; 30 Gy), and the conventional LN-boost TCP value was 25% ± 11% (58% ± 15%) when TCP input parameters were based on published clinical outcome data for LN SBRT treatments (institutional outcome data). The tumor coverage doses (D90) of the SBRT boost plans were on average 32.34 Gyαβ=10 (21 Gy), 37.78 Gyαβ=10 (24 Gy), and 55.54Gyαβ=10 (30 Gy) higher than the conventional LN boost plan. The QUANTEC OAR dose constraints were met for the bladder, rectum, and bowel in all cases for the SBRT LN 21 Gy group, and in 90% and 70% of cases in the SBRT LN 24 Gy and SBRT LN 30 Gy groups, respectively.An SBRT boost dose of 30 Gy can be delivered without compromising QUANTEC OAR limits. The use of SBRT increases TCP values, regardless of the input parameters.Published by Elsevier Inc.",NA
2019,Pract Radiat Oncol,Less Than Whole Uterus Irradiation for Locally Advanced Cervical Cancer Maintains Locoregional Control and Decreases Radiation Dose to Bowel.,"This study aimed to evaluate whether our institutional standard of less-than-whole-uterus irradiation affects locoregional control in patients with locally advanced cervical cancer.We retrospectively reviewed 53 patients with stage IB to IVB cervical carcinoma who were treated with image guided intensity modulated radiation therapy and brachytherapy. The entire uterus was not included in the clinical target volume, as per our institutional standard. Dosimetric parameters were obtained, including positron emission tomography gross tumor volume (GTV), uterus volume excluding GTV, proportion of uterus included in the planning target volume (PTV; percentage), volume of overlap between uterus and prescription dose (cm3), minimum and mean dose to the uterus, and bowel V40 and D200cc. Local, regional, and distant failure and death were recorded.The median proportion of the uterus included in the PTV was 66%. With a median follow-up of 44 months, no patient experienced isolated local recurrence, and 2-year locoregional failure was 10.9%. Positron emission tomography GTV correlated significantly with increased chance of any failure (P = .049; 95% confidence interval, 1.000-1.018). Compared with patients who had ≥90% of the uterus included in the PTV (n = 12), patients who had <90% (n = 41) of the uterus included in the PTV had significantly lower bowel V40 (P = .049) and D200cc (P = .006).Less-than-whole-uterus irradiation for locally advanced cervical cancer does not compromise locoregional control and reduces bowel V40 and D200cc. Further investigation is required to evaluate whether this reduction in bowel dose translates to a clinically significant reduction in bowel toxicity and whether modifications should be made to the recommended definitive cervix intensity modulated radiation therapy volumes.Copyright © 2018 American Society for Radiation Oncology. Published by Elsevier Inc. All rights reserved.",NA
2019,Pract Radiat Oncol,Patterns of Recurrence in Node-Positive Cervical Cancer Patients Treated With Contemporary Chemoradiation and Dose Escalation: A Multi-Institutional Study.,"We assessed the effect of elective extended field radiation (EFRT) and nodal dose escalation on locoregional control and survival in patients with node-positive cervical cancer treated with definitive chemoradiation at 2 academic institutions.Patients with cervical cancer with pelvic and/or paraortic lymph node (PALN) metastases treated with definitive chemoradiation between 2004 and 2011 were retrospectively reviewed. Patterns of failure were recorded. The impact of tumor and treatment on survival or recurrence were evaluated.A total of 78 patients were included. Median follow-up in surviving patients was 34 months. The 3-year overall survival (OS) and disease-free survival (DFS) were 65% and 50%, respectively (all patients), 68% and 52% (pelvic lymph nodes), and 59% and 48% (PALN). OS or DFS in pelvic-only versus PALN-positive patients was not significantly different (log-rank P = .24). Recurrences were distant (n = 22), PALN (n = 6), central pelvis (n = 5), pelvic lymph node (n = 3), and suspended ovary (n = 1). Higher nodal prescribed dose (range, 45-60 Gy) and elective EFRT did not affect DFS or OS (Cox proportional hazards P > .05). There was a trend toward decreased regional recurrence with higher nodal dose (hazard ratio, 0.85 per Gy increase; Cox proportional hazards P = .08). Elective EFRT did not affect PALN failure rate, OS, or DFS (Cox proportional hazards P > .05).Survival of patients with PALN involvement was similar to those with pelvic-only nodes. Higher nodal dose may improve regional control but did not affect survival. Elective extended-field radiation did not affect outcomes in this cohort. Most failures were distant, emphasizing the potential role of systemic therapy to improve outcomes.Published by Elsevier Inc.",NA
2017,Lancet,"Final efficacy, immunogenicity, and safety analyses of a nine-valent human papillomavirus vaccine in women aged 16-26 years: a randomised, double-blind trial.","Primary analyses of a study in young women aged 16-26 years showed efficacy of the nine-valent human papillomavirus (9vHPV; HPV 6, 11, 16, 18, 31, 33, 45, 52, and 58) vaccine against infections and disease related to HPV 31, 33, 45, 52, and 58, and non-inferior HPV 6, 11, 16, and 18 antibody responses when compared with quadrivalent HPV (qHPV; HPV 6, 11, 16, and 18) vaccine. We aimed to report efficacy of the 9vHPV vaccine for up to 6 years following first administration and antibody responses over 5 years.We undertook this randomised, double-blind, efficacy, immunogenicity, and safety study of the 9vHPV vaccine study at 105 study sites in 18 countries. Women aged 16-26 years old who were healthy, with no history of abnormal cervical cytology, no previous abnormal cervical biopsy results, and no more than four lifetime sexual partners were randomly assigned (1:1) by central randomisation and block sizes of 2 and 2 to receive three intramuscular injections over 6 months of 9vHPV or qHPV (control) vaccine. All participants, study investigators, and study site personnel, laboratory staff, members of the sponsor's study team, and members of the adjudication pathology panel were masked to vaccination groups. The primary outcomes were incidence of high-grade cervical disease (cervical intraepithelial neoplasia grade 2 or 3, adenocarcinoma in situ, invasive cervical carcinoma), vulvar disease (vulvar intraepithelial neoplasia grade 2/3, vulvar cancer), and vaginal disease (vaginal intraepithelial neoplasia grade 2/3, vaginal cancer) related to HPV 31, 33, 45, 52, and 58 and non-inferiority (excluding a decrease of 1·5 times) of anti-HPV 6, 11, 16, and 18 geometric mean titres (GMT). Tissue samples were adjudicated for histopathology diagnosis and tested for HPV DNA. Serum antibody responses were assessed by competitive Luminex immunoassay. The primary evaluation of efficacy was a superiority analysis in the per-protocol efficacy population, supportive efficacy was analysed in the modified intention-to-treat population, and the primary evaluation of immunogenicity was a non-inferiority analysis. The trial is registered with ClinicalTrials.gov, number NCT00543543.Between Sept 26, 2007, and Dec 18, 2009, we recruited and randomly assigned 14 215 participants to receive 9vHPV (n=7106) or qHPV (n=7109) vaccine. In the per-protocol population, the incidence of high-grade cervical, vulvar and vaginal disease related to HPV 31, 33, 45, 52, and 58 was 0·5 cases per 10 000 person-years in the 9vHPV and 19·0 cases per 10 000 person-years in the qHPV groups, representing 97·4% efficacy (95% CI 85·0-99·9). HPV 6, 11, 16, and 18 GMTs were non-inferior in the 9vHPV versus qHPV group from month 1 to 3 years after vaccination. No clinically meaningful differences in serious adverse events were noted between the study groups. 11 participants died during the study follow-up period (six in the 9vHPV vaccine group and five in the qHPV vaccine group); none of the deaths were considered vaccine-related.The 9vHPV vaccine prevents infection, cytological abnormalities, high-grade lesions, and cervical procedures related to HPV 31, 33, 45, 52, and 58. Both the 9vHPV vaccine and qHPV vaccine had a similar immunogenicity profile with respect to HPV 6, 11, 16, and 18. Vaccine efficacy was sustained for up to 6 years. The 9vHPV vaccine could potentially provide broader coverage and prevent 90% of cervical cancer cases worldwide.Merck & Co, Inc.Copyright © 2017 Elsevier Ltd. All rights reserved.",NA
